event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,acronym,abstract,homepage,link_document,logo,source,EOL
[ME],[ISWC],,ConferenceEvent,The 13th International Semantic Web Conference,2014-10-19T09:00:00,2014-10-23T17:30:00,Europe/Rome,,"Riva del Garda Fierecongressi SpA, Trento, Italy",,,,,ISWC2014,,http://iswc2014.semanticweb.org/,,http://iswc2014.semanticweb.org/sites/iswc2014.fbk.eu/files/header900_0.png,http://iswc2014.semanticweb.org/,EOL
,,,,,,,,,,,,,,,,,,,,
[ME]/track/research,[ME],,TrackEvent,Research Track,,,,,,,,,,,,,,,http://iswc2014.semanticweb.org/,EOL
[ME]/track/inuse,[ME],,TrackEvent,Semantic Web In use Track,,,,,,,,,,,,,,,http://iswc2014.semanticweb.org/,EOL
[ME]/track/rbd,[ME],,TrackEvent,"Replication, Benchmark, Data and Software Track",,,,,,,,,,,,,,,http://iswc2014.semanticweb.org/,EOL
[ME]/track/industrial,[ME],,TrackEvent,Industry Track,,,,,,,,,,,,,,,http://iswc2014.semanticweb.org/,EOL
[ME]/track/tutorial,[ME],,TrackEvent,Tutorial Track,,,,,,,,,,,,,,,http://iswc2014.semanticweb.org/,EOL
[ME]/track/poster-demo,[ME],,TrackEvent,Poster and Demo Track,,,,,,,,,,,,,,,http://iswc2014.semanticweb.org/,EOL
,,,,,,,,,,,,,,,,,,,,
[ME]/track/1,[ME],,TrackEvent,Track 1,,,,,,,,,,,,,,,,
[ME]/track/2,[ME],,TrackEvent,Track 2,,,,,,,,,,,,,,,,
[ME]/track/3,[ME],,TrackEvent,Track 3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,SpecialEvent,Registration,2014-10-18T16:00:00,2014-10-18T18:00:00,Europe/Rome,Foyer,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,SpecialEvent,Registration,2014-10-19T08:00:00,2014-10-19T17:00:00,Europe/Rome,Foyer,,,,,,,,,,,,EOL
,,,,,,,,,,,,,,,,,,,,
[WORKSHOP]/s4sc/2014,,,WorkshopEvent,5th Workshop on Semantics for Smarter Cities,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala 300B,,Chair,"Payam Barnaghi,Jan Holler,Biplav Srivastava,John Davies,John Breslin,Tope Omitola",,,Semanticcities,"This workshop will explore the interfaces between the Web, the Web of Data, and the City Smart environment. It will further explore how the Web, and the intelligences built on top of, and around the Web, can make the notion of the Smart Connected City possible and realizable. The workshop aims to gather researchers, city departments, service providers, application developers, entrepreneurs, and citizens to present and debate Semantic Web technologies, Linked Data and data analytics and evaluations for smart city applications as well as impact of user engagements and social networks. The workshop will also focus on related standardization activities in W3C, IEEE and ETSI.",http://blog.soton.ac.uk/s4sc/,,,http://blog.soton.ac.uk/s4sc/,EOL
[WORKSHOP]/sdsw/2014,,,WorkshopEvent,Surfacing the Deep and the Social Web,2014-10-19T09:00:00,2014-10-19T12:40:00,Europe/Rome,Sala Stampa B,,Chair,"Paulo Rupino da Cunha,Ngoc Thanh Nguyen,Omar Boucelma,Bogdan Cautis,Yannis Velegrakis",,,sdsw,"The simplicity with which users can publish content nowadays has made the Web the world’s largest database. Keyword-based search has become the de-facto standard for information discovery in this ocean of data, mainly due to its simplicity that makes it attractive to technically novice users. To answer keyword queries, existing search engines rely on effective indexes of the content that allow them to return the documents that best match the user’s search criteria. This generally leaves out the structure of the data, its semantic dimension, as well as the social aspects to which it may relate. We believe that, in order to exploit the full potential of the Web, structured and rich data will have to receive the same search and retrieve capabilities as the text data from Web documents. However, due to their highly structured nature, the rich semantics, and the data structures by which they are typically managed, a great deal of issues needs to be studied. As the problem is in general of a multifaceted nature, it requires synergies from many different disciplines. This workshop is jointly organized by the Working Groups 3 and 4 of the COST Action KEYSTONE, which is dedicated to launching and establishing a cooperative network of researchers, practitioners, and application domain specialists working in fields related to semantic data management, the Semantic Web, information retrieval, artificial intelligence, machine learning and natural language processing that coordinates collaboration among them to enable research activity and technology transfer in the area of keyword-based search over structured data sources.",http://sdsw-at-iswc2014.ipn.pt/,,,http://sdsw-at-iswc2014.ipn.pt/,EOL
[WORKSHOP]/wop/2014,,,WorkshopEvent,5th Workshop on Ontology and Semantic Web Patterns ,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala 1000A,,Chair,"Victor de Boer,Aldo Gangemi,Krzysztof Janowicz,Agnieszka Ławrynowicz ",,,wop2014,"This is the fifth edition in a series of workshops addressing the topic of ontology and semantic web patterns as best practices, related to the ontologydesignpatterns.org initiative. This edition of WOP will be the very first in Europe, in which traditionally the design pattern community for semantic web and linked data has been very strong. As interest in the Semantic Web increases and technologies for realizing the Semantic Web become more mature, the need for high-quality and reusable Semantic Web ontologies increases as well. To address the quality and reusability issues, different types of Ontology Design Patterns (ODPs) have emerged, and methods for devising or discovering new ones from heterogeneous knowledge sources are needed.",http://ontologydesignpatterns.org/wiki/WOP:2014,,,http://ontologydesignpatterns.org/wiki/WOP:2014,EOL
[WORKSHOP]/lisc/2014,,,WorkshopEvent,4th Workshop on Linked Science 2014— Making Sense Out of Data,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala Meeting,,Chair,"Jun Zhao, Marieke van Erp,Carsten Keßler, Tomi Kauppinen,Jacco van Ossenbruggen,Willem Robert van Hage",,,lisc2014,"Traditionally scientific dissemination has been relying heavily on publications and presentations. The findings reported in these articles are often backed by large amounts of diverse data produced by complex experiments, computer simulations, and observations of physical phenomena. Although publications, methods and datasets are often related, due to this avalanche of data it remains extremely hard to correlate, reuse and leverage scientific data. Semantic Web technologies provide a promising means for publishing, sharing, and interlinking data to facilitate data reuse and the necessary correlation, integration, and synthesis of data across levels of theory, techniques and disciplines. However, even when these data become discoverable and accessible, significant challenges remain in making intelligent understandings of these data and scientific discoveries that we anticipated. Our past three series (LISC2011, LISC2012 and LISC2013) have seen many novel ideas of using Semantic Web technologies for integrating scientific data (for example about real experiments or from simulations), or enabling reproducibility of research via online tools and Linked Data. The theme for LISC2014 is “Making Sense out of Data Through Linked Science”. Here we focus on new ways of discovering interesting patterns from scientific data, which could lead to research validation or identification of new hypotheses and acceleration of the scientific research cycle. We encourage both new results through making use of semantic reasoning or making innovative combination of existing technologies (such as visualization, data mining, machine learning, and natural language processing) with SW technologies to enable better understanding of data. One goal is to create both an incentive for scientists to consider the Linked Science approach for their scientific data management and an incentive for technologists from different disciplines to work together towards the vision of powering science with technologies.",http://linkedscience.org/events/lisc2014/,,,http://linkedscience.org/events/lisc2014/,EOL
[WORKSHOP]/nliwod/2014,,,WorkshopEvent,Natural Language Interfaces for Web of Data,2014-10-19T09:00:00,2014-10-19T12:40:00,Europe/Rome,Sala Stampa A,,Chair,"Jin-Dong Kim,Axel-Cyrille Ngonga Ngomo",,,NLIWoD2014,"While the amount of Linked Open Data (LOD) increases rapidly, it is still used mostly by Semantic Web experts. There are two main obstacles to making the billions of RDF triples already available accessible for common Web users: (1) the need to learn the query language SPARQL, and (2) the need to know the schemas underlying the datasets. Approaches to ease the access to the Web of Data include graphical query interfaces, agent-based systems, and natural language interfaces. Amongst them, natural language interfaces are receiving an increasing interest due to its high expressive power and low cost for educational purposes. Recent progresses in speech recognition technologies (e.g., Siri and Google Voice) also demonstrate the usefulness of a natural language interface. The goal of this workshop is to bring together experts on the use of natural-language interfaces (NLI) for accessing the Web of Data.",http://www.nliwod.org/home,,,http://www.nliwod.org/home,EOL
[WORKSHOP]/senstat/2014,,,WorkshopEvent,Second International Workshop on Semantic Statistics,2014-10-19T09:00:00,2014-10-19T12:40:00,Europe/Rome,Sala 300A,,Chair,"Sarven Capadisli,Franck Cotton,Armin Haller, Alistair Hamilton, Monica Scannapieco, Raphaël Troncy",,,semstats2014,"The SemStats Challenge is back with more action! It is organized in the context of the SemStats 2014 workshop. Participants are invited to apply statistical techniques and semantic web technologies within one of two possible tracks, namely the Census Data Track and Open Track. Following up on the success of last year’s Challenge, this year, the Census Data Track will have data from France, Italy, and Ireland. We would also like to introduce the new Open Track, where any type of statistical data of your choice may be used in the challenge. The challenge will consist in the realization of mashups or visualizations, but also on comparisons, analytics, alignment and enrichment of the data and concepts involved in statistical data (see below for the data made available and additional requirements).",http://semstats2014.wordpress.com/,,,http://semstats2014.wordpress.com/,EOL
[WORKSHOP]/ursw/2014,,,WorkshopEvent,10th International Workshop on Uncertainty Reasoning for the Semantic Web,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala Presidenza,,Chair,"Fernando Bobillo, Rommel Carvalho,Davide Ceolin,Paulo C. G. Costa,Claudia d’Amato,Nicola Fanizzi ,Kathryn B. Laskey, Thomas Lukasiewicz , Trevor Martin,Matthias Nickles ,Michael Pool",,,URSW2014,"The Uncertainty Reasoning Workshop is an exciting opportunity for collaboration and cross-fertilization between the uncertainty reasoning community and the Semantic Web community. Effective methods for reasoning under uncertainty are vital for realizing many aspects of the Semantic Web vision, but the ability of current-generation web technology to handle uncertainty remains extremely limited. Thus, there is a continuing demand for uncertainty reasoning technology among Semantic Web researchers and developers, and the URSW workshop creates a unique opening to bring together two communities with a clear commonality of interest but limited history of interaction. By capitalizing on this opportunity, URSW could spark dramatic progress toward realizing the Semantic Web vision.",http://c4i.gmu.edu/ursw/2014/home/index.html,,,http://c4i.gmu.edu/ursw/2014/home/index.html,EOL
[WORKSHOP]/method/2014,,,WorkshopEvent,3rd International Workshop on Methods for Establishing Trust of (Open) Data,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala Presidenza,,Chair,"Tom De Nies,Davide Ceolin, Paul groth, Olaf Hartig,Stephen Marsh",,,METHOD2014,"The METHOD workshop aims to bring together researchers working on the problem of trust and quality assessment of (open) data, and all components that contribute to this goal. Trust assessment of content on the Web is a highly complex concept that depends on objective as well as subjective criteria, including the content's provenance, but also the consumer's background, personality, and context. However, the exact criteria and tolerances will differ for each domain, requiring detailed knowledge about the data and its users. This also makes it very challenging to find generic solutions that are applicable everywhere. Therefore, stakeholders in this field are continuously investigating new techniques to handle and prepare data in such a way that it becomes easier for machines to process it with the goal of trust and/or quality assessment. The METHOD workshop will be a venue for presenting and discussing novel research ideas in this field, as well as technical applications. There are many places where activists and political stakeholders discuss the topics of Trust and Open Data, but we found that our research community lacks a platform for researchers and engineers to exchange views using a more technical perspective. The METHOD workshops provide a forum for researchers from both the Semantic Web and the Trust Management community to discuss approaches, theories, and concrete technical means required to establish trust in information on the Web.",http://trustingwebdata.org/method2014,,,http://trustingwebdata.org/method2014,EOL
[WORKSHOP]/cim/2014,,,WorkshopEvent,"Workshop on Context, Interpretation and Meaning",2014-10-19T14:00:00,2014-10-19T17:30:00,Europe/Rome,Sala Stampa A,,Chair,"Alasdair J G Gray,Harry Halpin,Fiona McNeill",,,cim2014,"Data linkage and ontology matching have traditionally focused on creating a single link between items in a dataset, terminology or ontology. This one size mapping does not fit the myriad of use cases to which the data will be put. In order to make intelligent use of these mappings, users of the matches want to understand the justification of the mapping to interpret the meaning of the linking. This issue arises in many areas including healthcare, life sciences and disaster management. This workshop will focus on the creation of mappings, modelling of justifications, and developing explanations. It will also address developing intuitive displays to present the consequences of these mappings to the user. We are seeking theoretical techniques, use cases, software tools and applications to foster debate in this area.",http://www.macs.hw.ac.uk/~fm206/cim14/,,,http://www.macs.hw.ac.uk/~fm206/cim14/,EOL
[WORKSHOP]/terracognita/2014,,,WorkshopEvent,"Terra Cognita: 6th International Workshop on the Foundations, Technologies and Applications of the Geospatial Web",2014-10-19T14:00:00,2014-10-19T17:30:00,Europe/Rome,Sala Stampa B,,Chair,"Kostis Kyzirakos,Rolf Gruetter, Dave Kolas,Matthew Perry",,,terracognita2014,"The wide availability of technologies such as GPS, map services and social networks, has resulted in the proliferation of geospatial data on the Web. Similarly, the amount of geospatial data extracted from the Web and published as Linked Data is increasing. Together with the dissemination of Web-enabled mobile devices these continually growing data have given rise to a number of innovative services and applications. With the location of users being made available widely, new issues such as those pertaining to security and privacy arise. Emergency response, context sensitive user applications, and complex GIS tasks all lend themselves toward solutions that combine both the Geospatial Web and the Semantic Web. The workshop will bring together researchers and practitioners from various disciplines, as well as interested parties from industry and government, to advance the frontiers of this emerging research area. Bringing together Semantic Web and geospatial researchers helps encourage the use of semantics in geospatial applications and the use of spatial elements in semantic research and applications. The field continues to gain popularity, resulting in a need for a forum to discuss relevant issues.",http://event.cwi.nl/terracognita2014/,,,http://event.cwi.nl/terracognita2014/,EOL
[WORKSHOP]/swcs/2014,,,WorkshopEvent,3rd Workshop on Semantic Web Collaborative Spaces,2014-10-19T14:00:00,2014-10-19T17:30:00,Europe/Rome,Sala 300A,,Chair,"Pascal Molli,John Breslin,Maria-Esther Vidal",,,SWCS2014,"Collaboration between data producers and consumers is a key challenge for facilitating the evolution of the LOD cloud into a participative and updatable LOD cloud. Semantic Web Collaborative Spaces aim to make open data producers and consumers working together to enhance and maintain linked data and contents, and improve linked data quality. These collaborative spaces include social semantic frameworks such as crowdsourcing tools, semantic wikis, semantic social networks, semantic microblogs; they have the mission to bring together human and software agents in order to foster knowledge ­intensive collaboration, content creation and management, annotated multimedia collection management, social knowledge diffusion and formalizing, and more generally speaking ontology­ oriented content management life­cycle.",http://www.swcs-workshop.org/,,,http://www.swcs-workshop.org/,EOL
,,,,,,,,,,,,,,,,,,,,
[WORKSHOP]/semdev/2014,,,WorkshopEvent,Developers Workshop,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala 1000B,,Chair,"Ruben Verborgh,Erik Mannens",,,SemDev2014,"Like any technology, the Semantic Web crucially depends on its developers. We know that many of you have created SemWeb software, but only few have gotten the opportunity to talk about what is so special about the code they wrote. ISWC2014 finally changes this :-) We unite SemWeb developers on October 19th, 2014 to discuss about topics we passionately care about: How to develop applications on top of Linked Data? How can browser applications influence the Semantic Web? How to create libraries for technologies such as RDF (JSON-LD / Turtle / …), SPARQL, PROV? What about mobile and native applications? How to do semantic development for a specific domain? In other words, this workshop is about how you made things work. It is about implementations, methods, techniques, about how you solved practical problems for Linked Data.",http://iswc2014.semdev.org/,,,http://iswc2014.semdev.org/,EOL
,,,,,,,,,,,,,,,,,,,,
[ME]/tutorial-1,[ME]/track/tutorial,,TutorialEvent,Large Scale Reasoning Over Semantic Data,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala Belvedere,,,,Organizer,"Jeff Z. Pan,Guilin Qi,Raghava Mutharaju,Ilias Tachmazidis ",,"The tutorial aims to provide an overview of the approaches used for large scale reasoning over semantic data, the systems developed as well as the lessons learned while developing them. We will discuss some applications which require scalable reasoning solutions. Questions such as what makes distributed/parallel reasoning hard would also be covered during the tutorial. Directions for future research work would be discussed.",http://homepages.abdn.ac.uk/jeff.z.pan/pages/research-ttl-iswc2014.shtml,,,http://homepages.abdn.ac.uk/jeff.z.pan/pages/research-ttl-iswc2014.shtml,EOL
[ME]/tutorial-2,[ME]/track/tutorial,,TutorialEvent,Stream Reasoning for Linked Data,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala 100A,,,,Organizer,"Marco Balduini,Jean-Paul Calbimonte,Oscar Corcho,Daniele Dell'Aglio ,Emanuele Della Valle",,"The goal of the Stream Reasoning for Linked Data tutorial is twofold: to (1) introduce scalable reasoning and querying techniques to SW researchers as powerful tool to make use of linked data and large-scale ontologies, and to (2) present interesting research problems for SW that arise in reasoning with highly dynamic data streams [DCvF09,RPZ10a]. The tutorial consists of five parts. It will begin with an introduction of linked data streams, as well as reasoning using the Semantic Web standard ontology language OWL 2. The second part will introduce semantic processing of data streams explained using C-SPARQL, a continuous extension of SPARQL for querying RDF streams and RDF graphs. The third part will provide an overview of ontology-based access to data streams through query rewriting to Stream Processing Engines and using stream-to-ontology mappings. The fourth part of the tutorial is a hands-on session on tools and systems related to the previous parts. The fith part of the tutorial will present other stream reasoning techniques for RDFS and OWL2-RL. The last part will wrap up the tutorial and present an overview of the open challenges.",http://streamreasoning.org/events/sr4ld2014,,,http://streamreasoning.org/events/sr4ld2014,EOL
[ME]/tutorial-3,[ME]/track/tutorial,,TutorialEvent,Ontology matching: from mature technology to open horizons,2014-10-19T09:00:00,2014-10-19T12:40:00,Europe/Rome,Sala 100B,,,,Organizer,"Jérôme Euzenat,Pavel Shvaiko",,"Ontology matching is the task of finding relationships between different ontologies. In semantic web practice it is very important for mediating queries across data sources expressed in different ontologies or for interlinking open data, for instance. Ontology matching has benefited from years of very active research. The goal of this tutorial is to present ontology matching in an inclusive framework and to show by example how this is instantiated in tools for matching and manipulating alignments between ontologies. It also aims at presenting extensions of this framework towards more intricate questions (scalability, reasoning, involving other resources and people): these will also be discussed in a general way and illustrated on practical examples. This tutorial is targeted at people needing to involve ontology matching in their works, at practitioners who want to concretely learn how to starts with ontology matching, and at students who are starting research involving ontology matching.",http://tutorial.ontologymatching.org/,,,http://tutorial.ontologymatching.org/,EOL
[ME]/tutorial-4,[ME]/track/tutorial,,TutorialEvent,Instance Matching Benchmarks for Linked Data,2014-10-19T14:00:00,2014-10-19T17:30:00,Europe/Rome,Sala 100B,,,,Organizer,"Evangelia Daskalaki,Irini Fundulaki,Melanie Herschel,Janina Saveta",,"With the continuously increasing number of datasets published in the Web of Data and form part of the Linked Open Data Cloud, it becomes more and more essential to identify resources that correspond to the same real world object in order to interlink web resources and set the basis for large-scale data integration. This requirement becomes apparent in a multitude of domains ranging from science (marine research, biology, astronomy, pharmacology) to semantic publishing and cultural domains. In this context, instance matching (also referred to as record linkage [16], duplicate detection [3] entity resolution [2], and object identification in the context of databases [18]) is of crucial importance. It is though essential at this point to develop, along with instance and entity matching systems, benchmarks to determine the weak and strong points of those systems, as well as their overall quality in order to support users in deciding the system to use for their needs. Hence, well defined, and good quality benchmarks are important for comparing the performance of the developed instance matching systems.",http://www.ics.forth.gr/isl/BenchmarksTutorial/,,,http://www.ics.forth.gr/isl/BenchmarksTutorial/,EOL
,,,,,,,,,,,,,,,,,,,,
,,,BreakEvent,Coffee break,2014-10-19T10:30:00,2014-10-19T11:00:00,Europe/Rome,Palameeting,,,,,,,,,,,,EOL
,,,BreakEvent,Lunch,2014-10-19T12:40:00,2014-10-19T14:00:00,Europe/Rome,Palameeting,,,,,,,,,,,,EOL
,,,BreakEvent,Coffee break,2014-10-19T15:30:00,2014-10-19T16:00:00,Europe/Rome,Palameeting,,,,,,,,,,,,EOL
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,SpecialEvent,Registration,2014-10-20T08:00:00,2014-10-20T17:00:00,Europe/Rome,Foyer,,,,,,,,,,,,EOL
,,,,,,,,,,,,,,,,,,,,
[WORKSHOP]/lile/2014,,,WorkshopEvent,Linked Learning meets LinkedUp: Learning and Education with the Web of Data,2014-10-20T09:00:00,2014-10-20T17:30:00,Europe/Rome,Sala 1000B,,Chair," Stefan Dietze, Mathieu d’Aquin,Eelco Herder,Dragan Gasevic",,,LILE2014,"The workshop aims to be a highly interactive research forum for exploring the promises of the Web of Linked Data in the broad area of learning by gathering researchers from the areas of the Semantic Web, Social Web, Technology Enhanced Learning (TEL), and Education. We will welcome high-quality papers about actual trends in (a) how education takes advantage of the Web of Data, especially through Linked Data technologies and (b) how Linked Data principles are being applied in educational contexts.",http://linkededucation.org/events/lile2014/,,,http://linkededucation.org/events/lile2014/,EOL
